,no_feature,+ calender_feature,+ rolling_feature,+ technical_feature,+ non_linear_feature,+ autocorr_feature,+ trend_feature
ACB,0.7554238308504012,0.7554238308504012,0.7496218281731066,0.7595421577159236,0.775650536723116,0.775163060843539,0.775163060843539
BCM,0.8994521008089953,0.8994521008089953,0.8955668599207016,0.8990037853493568,0.9110496275424338,0.9112852177352991,0.9112852177352991
BID,0.835221954919446,0.835221954919446,0.8400653905725143,0.8453659154692552,0.8662201022948965,0.8666478979309307,0.8666478979309307
BVH,0.9615587193344186,0.9615587193344186,0.9612674745116219,0.964445861100417,0.9734821633031395,0.9734717294260331,0.9734717294260331
CTG,0.9220233243510363,0.9220233243510363,0.9218606612483196,0.9265572459746503,0.9339561592626805,0.9342900456550444,0.9342900456550444
FPT,0.9412629251041751,0.9412629251041751,0.9403860028296499,0.9425810920694904,0.9420706893546729,0.9412301883510533,0.9412301883510533
GAS,0.9364171694006129,0.9364171694006129,0.9377884272127506,0.9413499812695797,0.9572969549235533,0.9573248551153659,0.9573248551153659
GVR,0.8802413807866297,0.8802413807866297,0.8797856708092533,0.8854088181321844,0.9007639306553212,0.9007950435201386,0.9007950435201386
HDB,0.9012146527563243,0.9012146527563243,0.9026367040880132,0.908150954146072,0.9150203271020169,0.9147154744080191,0.9147154744080191
HPG,0.7789436588236534,0.7789436588236534,0.7791063916899308,0.7910379294128564,0.8136940764363498,0.8139010671774136,0.8139010671774136
LPB,0.9762709443268568,0.9762709443268568,0.9756027259441731,0.9766145200013472,0.9770489731728074,0.9768355927079722,0.9768355927079722
MBB,0.8457904412898022,0.8457904412898022,0.8468637800645951,0.8531404891997486,0.8663729603767839,0.8665948398164842,0.8665948398164842
MSN,0.910751925293632,0.910751925293632,0.9125838241397354,0.9279399053940911,0.9469571450057523,0.9469190706283667,0.9469190706283667
MWG,0.943276221658886,0.943276221658886,0.9433659244304361,0.9464230118006342,0.9554795647901917,0.9547855835570775,0.9547855835570775
PLX,0.9678834807367018,0.9678834807367018,0.9674501088232372,0.9696061361910175,0.9775967592479562,0.9774687944260434,0.9774687944260434
SAB,0.7679836440101269,0.7679836440101269,0.7676566177633377,0.7806336715738657,0.8258080834294065,0.8259973331512389,0.8259973331512389
SHB,0.9280544532146461,0.9280544532146461,0.9290750876317841,0.9348265631960927,0.9454750856043108,0.9456057204727386,0.9456057204727386
SSB,0.9029990900297865,0.9029932822833497,0.902707455642099,0.9019184140346315,0.9218109603853631,0.9199501464689352,0.9199501464689352
SSI,0.8609524559550177,0.8609524559550177,0.8653071549107823,0.8704517812603823,0.8849475405588086,0.8849793435855059,0.8849793435855059
STB,0.9456184634385641,0.9456184634385641,0.9460358726945804,0.948707590051677,0.9537013571934236,0.9538807324400507,0.9538807324400507
TCB,0.899015423173313,0.899015423173313,0.8982633583858175,0.9030056260128592,0.9133208605996669,0.9114291811325689,0.9114291811325689
TPB,0.900526125468238,0.900526125468238,0.9026130639013159,0.9049158245929105,0.9177418742353904,0.9183890994312004,0.9183890994312004
VCB,0.7240346705136923,0.7240346705136923,0.7315416316415695,0.7375968682172385,0.7663345840686593,0.7675966154922109,0.7675966154922109
VHM,0.9304067369847213,0.9304067369847213,0.9288420023800299,0.9356162608518093,0.9534280234814545,0.9533139091882042,0.9533139091882042
VIB,0.7880517604894889,0.7880517604894889,0.7836705387948457,0.7886470752446575,0.8073785345168504,0.8086647588532568,0.8086647588532568
VIC,0.9118334744393397,0.9118334744393397,0.9144299810793288,0.9200378345866264,0.9355966148608282,0.9355826590234372,0.9355826590234372
VJC,0.9268889532319868,0.9268889532319868,0.9273917996894645,0.9332699234468296,0.9484139687594894,0.9484629039369389,0.9484629039369389
VNM,0.9465402358123857,0.9465402358123857,0.9471783911192577,0.9525674144077432,0.9606666930510419,0.9604804448329314,0.9604804448329314
VPB,0.826509071703863,0.826509071703863,0.8227887224855415,0.8284707783984958,0.8529590831336287,0.8533886252103458,0.8533886252103458
VRE,0.9523036403253752,0.9523036403253752,0.9564778035437943,0.9595932023651825,0.9672043474665992,0.9669230992749456,0.9669230992749456
